timestamp,university_answer,windows_experience,reason_for_not_choosing_mac
2024/01/10 21:33:28,Yes,最悪,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/10 23:47:58,Yes,最悪,プログラミング学習に向いていないから
2024/01/11 0:07:19,Yes,最高に良い,学校の指定でないから
2024/01/11 0:07:38,Yes,良い,学校の指定でないから
2024/01/11 0:07:51,Yes,良い,プログラミング学習に向いていないから
2024/01/11 0:08:27,Yes,良い,学校の指定でないから
2024/01/11 0:08:48,Yes,良い,学校の指定でないから
2024/01/11 0:09:02,Yes,良い,学校の指定でないから
2024/01/11 0:11:01,Yes,良い,学校の指定でないから
2024/01/11 0:13:47,Yes,良い,学校の指定でないから
2024/01/11 0:15:29,Yes,普通,学校の指定でないから
2024/01/11 0:21:12,Yes,良い,先輩がPCのことに詳しくないならMacにしておいたほうが良いと言っていたから
2024/01/11 0:39:25,Yes,良い,学校の指定でないから
2024/01/11 0:49:41,Yes,最高に良い,対応しているアプリケーションが少ない(自分の使用したいアプリが対応していない)
2024/01/11 1:22:02,Yes,最高に良い,プログラミング学習に向いていないから
2024/01/11 6:18:49,Yes,良い,学校の指定でないから
2024/01/11 9:36:22,Yes,良い,プログラミング学習に向いていないから
2024/01/11 10:27:28,Yes,良い,プログラミング学習に向いていないから
2024/01/11 12:04:45,Yes,最高に良い,学校の指定でないから
2024/01/11 12:23:08,Yes,良い,学校の指定でないから
2024/01/11 13:01:02,Yes,普通,プログラミング学習に向いていないから
2024/01/11 14:26:58,Yes,最高に良い,プログラミング学習に向いていないから
2024/01/11 16:50:57,Yes,良い,学校の指定でないから
2024/01/11 18:42:47,Yes,良い,学校の指定でないから
2024/01/11 19:40:55,Yes,良い,プログラミング学習に向いていないから
2024/01/11 23:30:15,Yes,良い,大学に指定されたから
2024/01/12 16:11:56,Yes,良い,学校の指定でないから
2024/01/13 13:22:57,Yes,普通,プログラミング学習に向いていないから
2024/01/13 21:57:34,Yes,良い,プログラミング学習に向いていないから
